10/08/2018,Man United,Leicester,2,1,H,A Marriner
11/08/2018,Bournemouth,Cardiff,2,0,H,K Friend
11/08/2018,Fulham,Crystal Palace,0,2,A,M Dean
11/08/2018,Huddersfield,Chelsea,0,3,A,C Kavanagh
11/08/2018,Newcastle,Tottenham,1,2,A,M Atkinson
11/08/2018,Watford,Brighton,2,0,H,J Moss
11/08/2018,Wolves,Everton,2,2,D,C Pawson
12/08/2018,Arsenal,Man City,0,2,A,M Oliver
12/08/2018,Liverpool,West Ham,4,0,H,A Taylor
12/08/2018,Southampton,Burnley,0,0,D,G Scott
18/08/2018,Cardiff,Newcastle,0,0,D,C Pawson
18/08/2018,Chelsea,Arsenal,3,2,H,M Atkinson
18/08/2018,Everton,Southampton,2,1,H,L Mason
18/08/2018,Leicester,Wolves,2,0,H,M Dean
18/08/2018,Tottenham,Fulham,3,1,H,A Taylor
18/08/2018,West Ham,Bournemouth,1,2,A,S Attwell
19/08/2018,Brighton,Man United,3,2,H,K Friend
19/08/2018,Burnley,Watford,1,3,A,P Tierney
19/08/2018,Man City,Huddersfield,6,1,H,A Marriner
20/08/2018,Crystal Palace,Liverpool,0,2,A,M Oliver
25/08/2018,Arsenal,West Ham,3,1,H,G Scott
25/08/2018,Bournemouth,Everton,2,2,D,L Probert
25/08/2018,Huddersfield,Cardiff,0,0,D,M Oliver
25/08/2018,Liverpool,Brighton,1,0,H,C Kavanagh
25/08/2018,Southampton,Leicester,1,2,A,J Moss
25/08/2018,Wolves,Man City,1,1,D,M Atkinson
26/08/2018,Fulham,Burnley,4,2,H,D Coote
26/08/2018,Newcastle,Chelsea,1,2,A,P Tierney
26/08/2018,Watford,Crystal Palace,2,1,H,A Taylor
27/08/2018,Man United,Tottenham,0,3,A,C Pawson
01/09/2018,Brighton,Fulham,2,2,D,L Probert
01/09/2018,Chelsea,Bournemouth,2,0,H,L Mason
01/09/2018,Crystal Palace,Southampton,0,2,A,M Atkinson
01/09/2018,Everton,Huddersfield,1,1,D,S Attwell
01/09/2018,Leicester,Liverpool,1,2,A,P Tierney
01/09/2018,Man City,Newcastle,2,1,H,K Friend
01/09/2018,West Ham,Wolves,0,1,A,C Kavanagh
02/09/2018,Burnley,Man United,0,2,A,J Moss
02/09/2018,Cardiff,Arsenal,2,3,A,A Taylor
02/09/2018,Watford,Tottenham,2,1,H,A Marriner
15/09/2018,Bournemouth,Leicester,4,2,H,C Pawson
15/09/2018,Chelsea,Cardiff,4,1,H,J Moss
15/09/2018,Huddersfield,Crystal Palace,0,1,A,L Mason
15/09/2018,Man City,Fulham,3,0,H,S Attwell
15/09/2018,Newcastle,Arsenal,1,2,A,L Probert
15/09/2018,Tottenham,Liverpool,1,2,A,M Oliver
15/09/2018,Watford,Man United,1,2,A,M Dean
16/09/2018,Everton,West Ham,1,3,A,M Atkinson
16/09/2018,Wolves,Burnley,1,0,H,A Marriner
17/09/2018,Southampton,Brighton,2,2,D,A Taylor
22/09/2018,Brighton,Tottenham,1,2,A,C Kavanagh
22/09/2018,Burnley,Bournemouth,4,0,H,A Taylor
22/09/2018,Cardiff,Man City,0,5,A,M Oliver
22/09/2018,Crystal Palace,Newcastle,0,0,D,A Marriner
22/09/2018,Fulham,Watford,1,1,D,M Atkinson
22/09/2018,Leicester,Huddersfield,3,1,H,D Coote
22/09/2018,Liverpool,Southampton,3,0,H,P Tierney
22/09/2018,Man United,Wolves,1,1,D,K Friend
23/09/2018,Arsenal,Everton,2,0,H,J Moss
23/09/2018,West Ham,Chelsea,0,0,D,M Dean
29/09/2018,Arsenal,Watford,2,0,H,A Taylor
29/09/2018,Chelsea,Liverpool,1,1,D,A Marriner
29/09/2018,Everton,Fulham,3,0,H,R East
29/09/2018,Huddersfield,Tottenham,0,2,A,C Pawson
29/09/2018,Man City,Brighton,2,0,H,L Mason
29/09/2018,Newcastle,Leicester,0,2,A,S Hooper
29/09/2018,West Ham,Man United,3,1,H,M Oliver
29/09/2018,Wolves,Southampton,2,0,H,S Attwell
30/09/2018,Cardiff,Burnley,1,2,A,M Atkinson
01/10/2018,Bournemouth,Crystal Palace,2,1,H,M Dean
05/10/2018,Brighton,West Ham,1,0,H,K Friend
06/10/2018,Burnley,Huddersfield,1,1,D,C Kavanagh
06/10/2018,Crystal Palace,Wolves,0,1,A,M Oliver
06/10/2018,Leicester,Everton,1,2,A,A Marriner
06/10/2018,Man United,Newcastle,3,2,H,A Taylor
06/10/2018,Tottenham,Cardiff,1,0,H,M Dean
06/10/2018,Watford,Bournemouth,0,4,A,J Moss
07/10/2018,Fulham,Arsenal,1,5,A,P Tierney
07/10/2018,Liverpool,Man City,0,0,D,M Atkinson
07/10/2018,Southampton,Chelsea,0,3,A,C Pawson
20/10/2018,Bournemouth,Southampton,0,0,D,L Probert
20/10/2018,Cardiff,Fulham,4,2,H,K Friend
20/10/2018,Chelsea,Man United,2,2,D,M Dean
20/10/2018,Huddersfield,Liverpool,0,1,A,M Oliver
20/10/2018,Man City,Burnley,5,0,H,J Moss
20/10/2018,Newcastle,Brighton,0,1,A,A Marriner
20/10/2018,West Ham,Tottenham,0,1,A,M Atkinson
20/10/2018,Wolves,Watford,0,2,A,L Mason
21/10/2018,Everton,Crystal Palace,2,0,H,A Taylor
22/10/2018,Arsenal,Leicester,3,1,H,C Kavanagh
